hjd,camera,mag,mag_err,flux,flux_err
2457099.96801,bb,10.101,0.02,349.423,6.429
2456782.8036,bb,10.034,0.02,371.87,6.842
2457200.80411,bb,9.954,0.02,400.365,7.367
2457217.82063,bb,10.048,0.02,366.944,6.752
2456784.94517,bb,9.951,0.02,401.427,7.386
2457409.11551,bb,9.917,0.02,414.203,7.621
2457398.14803,bb,9.888,0.02,425.275,7.825
2457413.11743,bb,9.986,0.02,388.483,7.148
2457459.98341,bb,9.588,0.02,560.498,10.313
2456651.15249,bb,9.995,0.02,385.274,7.089
2456866.82508,bb,10.071,0.02,359.273,6.611
2456896.76781,bb,10.105,0.02,348.401,6.411
2457422.1099,bb,9.927,0.02,410.467,7.553
2456003.12981,bb,9.726,0.02,493.824,9.086
2457162.99689,bb,10.007,0.02,381.246,7.015
2456906.75139,bb,10.002,0.02,382.836,7.044
2456798.95501,bb,9.967,0.02,395.531,7.278
2456757.87588,bb,10.181,0.02,324.859,5.977
2457451.0751,bb,9.613,0.02,547.889,10.081
2456856.88867,bb,10.17,0.02,327.921,6.034
2457032.14941,bb,9.914,0.02,415.326,7.642
2457503.92762,bb,9.554,0.02,578.515,10.645
2457955.87159,bb,9.707,0.02,502.431,9.245
2457212.80275,bb,10.01,0.02,380.2,6.996
2457231.86241,bb,9.823,0.02,451.598,8.309
2457181.92848,bb,9.835,0.02,446.756,8.22
2457405.12873,bb,9.955,0.02,399.928,7.359
2457444.03886,bb,9.608,0.02,550.324,10.126
2457549.92062,bb,9.653,0.02,528.274,9.72
2456814.89459,bb,9.865,0.02,434.231,7.99
2457514.98091,bb,9.723,0.02,494.912,9.106
2457123.06069,bb,9.814,0.02,455.131,8.374
2458009.72156,bb,10.006,0.02,381.404,7.018
2457582.90176,bb,9.707,0.02,502.274,9.242
2456894.75807,bb,10.045,0.02,368.157,6.774
2456898.76389,bb,10.029,0.02,373.475,6.872
2456800.92895,bb,9.895,0.02,422.678,7.777
2457109.9777,bb,9.924,0.02,411.624,7.574
2457453.00009,bb,9.657,0.02,526.313,9.684
2457960.86779,bb,9.724,0.02,494.444,9.098
2457523.83935,bb,9.761,0.02,478.207,8.799
2457906.01205,bb,9.753,0.02,481.697,8.863
2457188.90096,bb,10.039,0.02,370.104,6.81
2456832.87015,bb,10.071,0.02,359.432,6.614
2457500.07816,bb,9.563,0.02,573.677,10.556
2457150.01205,bb,10.132,0.02,339.589,6.248
2457171.83731,bb,9.723,0.02,495.161,9.111
2457097.01659,bb,10.099,0.02,350.247,6.445
2457240.83167,bb,9.826,0.02,450.111,8.282
2457135.9233,bb,9.874,0.02,430.795,7.927
2457844.93609,bb,9.712,0.02,500.376,9.207
2457849.91418,bb,9.656,0.02,526.867,9.694
2457050.1148,bb,9.966,0.02,395.713,7.281
2457429.09398,bb,9.856,0.02,437.987,8.059
2456701.07699,bb,10.078,0.02,357.144,6.571
2457771.13287,bb,9.853,0.02,439.352,8.084
2457511.96053,bb,9.71,0.02,501.312,9.224
2457024.16167,bb,10.704,0.02,200.503,3.689
2457449.05561,bb,9.648,0.02,530.374,9.759
2457871.04182,bb,9.802,0.02,460.512,8.473
2457849.0505,bb,9.729,0.02,492.313,9.059
2457419.13541,bb,9.903,0.02,419.535,7.719
2457251.79734,bb,9.797,0.02,462.299,8.506
2456811.91288,bb,9.916,0.02,414.639,7.629
2457508.88298,bb,9.701,0.02,505.424,9.3
2456917.71886,bb,9.922,0.02,412.02,7.581
2457900.98037,bb,9.694,0.02,508.626,9.359
2457461.11585,bb,9.52,0.02,596.666,10.979
2457411.11262,bb,9.947,0.02,402.996,7.415
2456889.77714,bb,9.932,0.02,408.498,7.516
2457788.08467,bb,10.412,0.02,262.598,4.832
2457157.94048,bb,9.973,0.02,393.218,7.235
2456881.793,bb,10.003,0.02,382.454,7.037
2457789.08104,bb,9.709,0.02,501.497,9.228
2457602.84349,bb,9.638,0.02,535.605,9.855
2457991.7359,bb,9.951,0.02,401.248,7.383
2457967.78285,bb,9.703,0.02,504.458,9.282
2457501.05566,bb,9.537,0.02,587.515,10.81
2456796.93589,bb,9.814,0.02,455.511,8.381
2456797.92764,bb,9.873,0.02,431.097,7.932
2457920.8864,bb,9.678,0.02,515.857,9.492
2457981.79684,bb,9.799,0.02,461.719,8.496
2457780.12986,bb,9.765,0.02,476.226,8.763
2457976.76755,bb,9.665,0.02,522.512,9.614
2458162.11031,bb,9.635,0.02,536.895,9.879
2457591.87799,bb,9.721,0.02,496.152,9.129
2457506.91722,bb,9.625,0.02,541.686,9.967
2456802.91767,bb,9.936,0.02,406.91,7.487
2457547.9724,bb,9.669,0.02,520.177,9.571
2457532.00924,bb,9.683,0.02,513.733,9.453
2456908.76667,bb,9.992,0.02,386.406,7.11
2456818.89539,bb,9.889,0.02,425.094,7.822
2457803.15585,bb,9.65,0.02,529.788,9.748
2457879.8822,bb,9.702,0.02,504.931,9.291
2457078.06147,bb,10.077,0.02,357.482,6.578
2456490.83432,bb,9.971,0.02,393.879,7.247
2456509.81021,bb,10.256,0.02,303.127,5.578
2456781.94519,bb,9.968,0.02,394.979,7.268
2458184.07212,bb,9.659,0.02,525.337,9.666
2457975.77618,bb,9.67,0.02,520.073,9.569
2457176.95615,bb,9.953,0.02,400.642,7.372
2458185.07642,bb,9.634,0.02,537.327,9.887
2456458.8807,bb,9.977,0.02,391.672,7.207
2457767.14608,bb,9.788,0.02,466.175,8.578
2456816.8975,bb,9.891,0.02,424.235,7.806
2457128.96951,bb,10.119,0.02,343.778,6.326
2456471.83062,bb,9.955,0.02,399.896,7.358
