source,product_type,file_name,local_path,url,bytes,sha256,ra_deg,dec_deg,date_obs,band_or_emulsion,notes
legacy,fits_cutout_griz,tcrb_legacy_lsdr10_ref_griz_cutout.fits,data/raw_images/reference/legacy/tcrb_legacy_lsdr10_ref_griz_cutout.fits,https://www.legacysurvey.org/viewer/fits-cutout?ra=239.87567&dec=25.92017&pixscale=0.262&size=256&layer=ls-dr10&bands=griz,1054080,4ef2a07030886641fbb28679e7110410962e74378368f846678a074904d16903,239.87567,25.92017,,griz,Legacy Survey DR10 reference FITS cutout centered on T CrB.
legacy,jpeg_cutout_rgb,tcrb_legacy_lsdr10_ref_rgb_cutout.jpg,data/raw_images/reference/legacy/tcrb_legacy_lsdr10_ref_rgb_cutout.jpg,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=239.87567&dec=25.92017&pixscale=0.262&size=256&layer=ls-dr10,40962,873129d6c525687c8937c1033a803c1034ab82161cacf80bbd6f816da955c3d5,239.87567,25.92017,,rgb,Legacy Survey DR10 reference JPEG cutout centered on T CrB.
ps1,fits_cutout_i,tcrb_ps1_ref_i_cutout.fits,data/raw_images/reference/ps1/tcrb_ps1_ref_i_cutout.fits,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=fits&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.stk.i.unconv.fits,290880,494c6439dc1af0e7ccc4e91a855ba927fc91b0be95e08ad84375db88ad15b555,239.87567,25.92017,,i,PS1 i-band FITS cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.stk.i.unconv.fits.
ps1,jpeg_cutout_i,tcrb_ps1_ref_i_cutout.jpg,data/raw_images/reference/ps1/tcrb_ps1_ref_i_cutout.jpg,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=jpg&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.stk.i.unconv.fits,2802,4fa1689fa431e860591c264e786183d64c3ae1b0a463611d73db00571f70bd35,239.87567,25.92017,,i,PS1 i-band JPEG cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.stk.i.unconv.fits.
ps1,warp_fits_i,tcrb_ps1_warp_i_2010-06-04_mjd55351_31911.fits,data/raw_images/reference/ps1/timeline_i/tcrb_ps1_warp_i_2010-06-04_mjd55351_31911.fits,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=fits&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55351_31911.fits,276480,563f171d301a90890c3e462f9cb0ee1ba12ee2e1dcc4d97e40d6fb69dca8111f,239.87567,25.92017,2010-06-04,i,PS1 single-epoch warp i-band FITS cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55351_31911.fits.
ps1,warp_jpeg_i,tcrb_ps1_warp_i_2010-06-04_mjd55351_31911.jpg,data/raw_images/reference/ps1/timeline_i/tcrb_ps1_warp_i_2010-06-04_mjd55351_31911.jpg,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=jpg&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55351_31911.fits,1413,b200e18876c7af2da954299868a81f768ec01bc973e2d6f223618c653e1bb7d9,239.87567,25.92017,2010-06-04,i,PS1 single-epoch warp i-band JPEG cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55351_31911.fits.
ps1,warp_fits_i,tcrb_ps1_warp_i_2011-05-19_mjd55700_47922.fits,data/raw_images/reference/ps1/timeline_i/tcrb_ps1_warp_i_2011-05-19_mjd55700_47922.fits,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=fits&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55700_47922.fits,276480,bf30dd7e1c71a8fb8558ebd3d58933d8ad1ae7096b8f841a8b828d59bf3f22ca,239.87567,25.92017,2011-05-19,i,PS1 single-epoch warp i-band FITS cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55700_47922.fits.
ps1,warp_jpeg_i,tcrb_ps1_warp_i_2011-05-19_mjd55700_47922.jpg,data/raw_images/reference/ps1/timeline_i/tcrb_ps1_warp_i_2011-05-19_mjd55700_47922.jpg,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=jpg&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55700_47922.fits,1413,b200e18876c7af2da954299868a81f768ec01bc973e2d6f223618c653e1bb7d9,239.87567,25.92017,2011-05-19,i,PS1 single-epoch warp i-band JPEG cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.55700_47922.fits.
ps1,warp_fits_i,tcrb_ps1_warp_i_2012-05-09_mjd56056_54451.fits,data/raw_images/reference/ps1/timeline_i/tcrb_ps1_warp_i_2012-05-09_mjd56056_54451.fits,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=fits&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.56056_54451.fits,276480,67e7bad303933e36bab43ae605b073f1476d3de0565c5f30f2d5525ae69dc250,239.87567,25.92017,2012-05-09,i,PS1 single-epoch warp i-band FITS cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.56056_54451.fits.
ps1,warp_jpeg_i,tcrb_ps1_warp_i_2012-05-09_mjd56056_54451.jpg,data/raw_images/reference/ps1/timeline_i/tcrb_ps1_warp_i_2012-05-09_mjd56056_54451.jpg,https://ps1images.stsci.edu/cgi-bin/fitscut.cgi?ra=239.87567&dec=25.92017&size=256&format=jpg&red=/rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.56056_54451.fits,1413,b200e18876c7af2da954299868a81f768ec01bc973e2d6f223618c653e1bb7d9,239.87567,25.92017,2012-05-09,i,PS1 single-epoch warp i-band JPEG cutout using filename /rings.v3.skycell/1903/048/rings.v3.skycell.1903.048.wrp.i.56056_54451.fits.
